index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
SK Düsseldorf,102,0,0,0,0,7,12,30,17,12,11,7,3,2,1,0,0,0,0
SK Essen,31,0,0,0,0,2,4,8,6,5,2,3,1,0,0,0,0,0,0
LK Kleve,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
SK Krefeld,5,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0
LK Mettmann,8,0,0,0,0,0,1,1,0,3,2,0,1,0,0,0,0,0,0
SK Mönchengladbach,8,0,0,0,0,1,1,0,1,2,1,1,1,0,0,0,0,0,0
SK Mülheim a.d.Ruhr,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
SK Oberhausen,7,0,0,0,0,1,0,1,0,3,0,1,1,0,0,0,0,0,0
SK Remscheid,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LK Rhein-Kreis Neuss,15,0,0,0,0,0,3,2,3,2,0,1,2,1,1,0,0,0,0
SK Solingen,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LK Viersen,7,0,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0
LK Wesel,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
SK Wuppertal,11,0,0,0,0,3,3,1,0,2,0,1,1,0,0,0,0,0,0
StädteRegion Aachen,16,0,0,0,0,0,2,4,4,3,0,1,0,1,0,0,1,0,0
SK Bonn,12,0,0,0,0,0,2,0,3,4,1,1,1,0,0,0,0,0,0
LK Düren,6,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0
LK Euskirchen,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
LK Heinsberg,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
SK Köln,380,0,0,1,0,11,32,73,77,62,47,35,21,16,2,1,1,1,0
SK Leverkusen,5,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0
LK Oberbergischer Kreis,5,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
LK Rhein-Erft-Kreis,22,0,0,0,0,0,3,1,5,3,5,1,3,1,0,0,0,0,0
LK Rheinisch-Bergischer Kreis,5,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0
LK Rhein-Sieg-Kreis,12,0,0,0,1,0,1,3,2,2,0,2,1,0,0,0,0,0,0
LK Borken,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SK Bottrop,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LK Coesfeld,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
SK Gelsenkirchen,6,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
SK Münster,12,0,0,0,0,1,2,4,1,3,0,0,0,1,0,0,0,0,0
LK Recklinghausen,5,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
LK Steinfurt,8,0,0,0,0,1,1,1,0,0,3,1,1,0,0,0,0,0,0
LK Warendorf,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LK Ahrweiler,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LK Altenkirchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Bad Kreuznach,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LK Birkenfeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
